eventtitle,views,place,address,eventday,eventdate,request
Farbenfabrik Flohmarkt #36 – Open Air Edition,6490,Milchsackfabrik / Tanzhaus West & Dora Brilliant,"60327 Frankfurt am Main, Gutleutstraße 294",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Handkäs' mit Mussik,7454,Frankfurter Hof,"65205 Wiesbaden, Oberpfortstraße 2",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
NATURE ONE Streaming-Weekend,87433,Raketenbasis Pydna,56288 Kastellaun,Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Antiheld,1987,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Brass Band Hessen / Tour '21,2771,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Club Aufs Deck // Sunday Sundowner // Maya DJ // …,1723,Yachtklub,"60594 Frankfurt am Main, Deutschherrnufer 12",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Der Besuch der alten Dame,3488,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Der Herr der Ringe & Der Hobbit - Das Konzert,3433,Burg Königstein,"61462 Königstein, Burgweg 5",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Der Zauberer von Oz,3258,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Die Abenteuer von Petterson und Findus - …,2959,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Die Akte Jedermann,2611,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Festwochen Filmmusiknacht - Kultur im Residenzhof,2235,Hugenottenhalle,"63263 Neu-Isenburg, Frankfurter Straße 152",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
Frankfurts größtes Speed Dating Event,1480,25Hours Hotel Frankfurt The Goldman,"60314 Frankfurt am Main, Hanauer Landstraße 127",Sonntag,2021-08-01,2021-08-01T16:54:10.973483Z
