eventtitle,views,place,address,eventday,eventdate,request
Batschkapp Sommergarten: Blackout Problems,3074,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Das (un)sichtbare Patriarchat - Mit Rebekka Endler …,1432,Haus am Dom,"60311 Frankfurt, Domplatz 3",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Elton John - Farewell Yellow Brick Road Tour 2021,146663,Mercedes-Benz Arena Berlin,"10243 Berlin, Mühlenstraße",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Eva Menasse - Dunkelblum,1702,Literaturhaus Frankfurt,"60311 Frankfurt, Schöne Aussicht 2",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Hairspray - Das Broadway-Musical,2892,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Live x RKDIA & Le Jeune Flück,955,Milchsackfabrik / Tanzhaus West & Dora Brilliant,"60327 Frankfurt am Main, Gutleutstraße 294",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Löwen Frankfurt,1251,Löwen Frankfurt,"60386 Frankfurt am Main, Am Bornheimer Hang 4",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Martinsvierteler Markt,1441,Riegerplatz,64289 Darmstadt,Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Online Tour Bunte Götter,1198,Liebieghaus Skulpturensammlung,"60596 Frankfurt am Main, Schaumainkai 71",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Profiler Suzanne Grieger-Langer - Deppen-Detox-Tour,2755,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Sanja Grozdanic & Bassem Saad - Permanent Trespass …,948,Mousonturm Saal,"60316 Frankfurt am Main, Waldschmidtstraße 4",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Sharon Dodua Otoo - Adas Raum,1400,Haus am Dom,"60311 Frankfurt, Domplatz 3",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Streaming-Abo Literaturhaus Frankfurt,1705,Literaturhaus Frankfurt,"60311 Frankfurt, Schöne Aussicht 2",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Wednesday Vibes,2747,Velvet Club,"60311 Frankfurt, Weißfrauenstraße 12-16",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Wochenmarkt Bornheim,1331,Wochenmarkt Bornheim,"60385 Frankfurt am Main, Berger Straße 194",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Wochenmarkt Rödelheim,1415,Wochenmarkt Rödelheim,"60489 Frankfurt am Main, Arthur-Stern-Platz",Mittwoch,2021-09-01,2021-09-01T16:56:14.007375Z
Dadju,2743,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Der Besuch der alten Dame,2457,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Erzeugermarkt Konstablerwache,923,Erzeugermarkt Konstablerwache,"60313 Frankfurt am Main, Konstablerwache",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Heinz Erhardt Dinner mit Andreas Neumann,2248,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Henning Ahrens - Mitgift,1257,Literaturhaus Frankfurt,"60311 Frankfurt, Schöne Aussicht 2",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Jan Philipp Zymny - surREALITÄT,4508,Die Käs,"60316 Frankfurt am Main, Waldschmidtstr. 19",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Kaisermarkt,795,Kaisermarkt,"60329 Frankfurt am Main, Kaiserstraße 81",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Profiler Suzanne Grieger-Langer - Deppen-Detox-Tour,2350,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Sanja Grozdanic & Bassem Saad - Permanent Trespass …,516,Mousonturm Saal,"60316 Frankfurt am Main, Waldschmidtstraße 4",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Stunde Null,157,Nachtleben,"60313 Frankfurt am Main, Kurt-Schumacher-Straße 45",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Unverschämt jüdisch - Mit Barbara Honigmann und Levi …,1027,Haus am Dom,"60311 Frankfurt, Domplatz 3",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Urban Club Band,1841,Gibson Club,"60313 Frankfurt am Main, Zeil 77",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
Wir und die Anderen – Exil. Fremdheit. Solidarität. …,986,Haus am Dom,"60311 Frankfurt, Domplatz 3",Donnerstag,2021-09-02,2021-09-01T16:56:15.969186Z
LIVE x Northern Lite,4484,Tanzhaus West/Dora Brilliant,"60327 Frankfurt am Main, Gutleutstraße 294",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Riviera Festival 2021,833,Hafen 2,"63067 Offenbach, Nordring 129",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Velvet-Bar-Night,7232,Velvet Club,"60311 Frankfurt, Weißfrauenstraße 12-16",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Anke Engelke & Iris Berben,2095,Alte Oper | Großer Saal,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Blumenmarkt Liebfrauenberg,728,Liebfrauenberg,"60313 Frankfurt am Main, Liebfrauenberg",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Der Besuch der alten Dame,2293,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Die Päpstin,2175,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
"Die Welt ist schön, Milord",1889,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Diggin Gabriel - Music without Frontiers!,410,SCHANZ,"63165 Mühlheim, Carl-Zeiss-Straße 6",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Duo Ohrenschmaus trifft Badekapp,2591,Schlossbühne am Bannturm,"63150 Heusenstamm, Im Herrngarten 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
El Maachi - Musik du Grand Maghreb,3278,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Gallusmarkt,820,Gallusmarkt,"60326 Frankfurt am Main, Frankenallee 183",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Katie Melua,2497,Alte Oper | Großer Saal,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Konferenz: Frau x Macht x Zukunft!,3173,Alte Oper,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Lily Abichahine / Noor Abed & Mark Lotfy - Exquisite …,765,Frankfurt LAB,"60326 Frankfurt am Main, Schmidtstraße 12",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Lucio101 ↯ Nizi19 ↯ Omar101 ↯ Karamel19 + Viko63 …,712,Jahrhunderthalle,"65929 Frankfurt am Main, Pfaffenwiese 301",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Matthias Nawrat - Reise nach Maine,988,Haus am Dom,"60311 Frankfurt, Domplatz 3",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Profiler Suzanne Grieger-Langer - Deppen-Detox-Tour,1653,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Secret Label Release Party,98,Gibson Club,"60313 Frankfurt am Main, Zeil 77",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Streaming Konferenz: Frau x Macht x Zukunft!,3383,Alte Oper,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Streaming Konferenz: Frau x Macht x Zukunft! - Panel I,3167,Alte Oper,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Streaming Konferenz: Frau x Macht x Zukunft! - Panel II,3159,Alte Oper,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Streaming Konferenz: Frau x Macht x Zukunft! - Panel …,3160,Alte Oper,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Streaming Konferenz: Frau x Macht x Zukunft! Panel IV,3159,Alte Oper,"60313 Frankfurt am Main, Opernplatz 1",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
tinyBE •living in a sculpture Themenführung Metzlerpark,421,Metzlerpark,"60594 Frankfurt am Main, Schaumainkai 17",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Tribute Rock Festival - AB/CD - Glitter Twins - …,1879,Amphitheater,"63454 Hanau, Philippsruher Allee 48",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Urban Friday,1976,Cooky's,"60311 Frankfurt, Am Salzhaus 4",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
WCD Pool Sessions in Frankfurt,625,Stadionbad,"60528 Frankfurt am Main, Mörenfelder Landstraße 362",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Wochenmarkt Sachsenhausen,802,Wochenmarkt Sachsenhausen,"60594 Frankfurt am Main, Diesterwegplatz 50",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
Wochenmarkt und Markthalle Höchst,1035,Markthalle und Wochenmarkt Höchst,"65929 Frankfurt am Main, Höchster Markt 6",Freitag,2021-09-03,2021-09-01T16:56:17.631966Z
FREILUFT Markt,4077,Börsenplatz,"60313 Frankfurt am Main, Börsenplatz",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Gibson Loves OLEN Night,4609,Gibson Club,"60313 Frankfurt am Main, Zeil 77",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Riviera Festival 2021,475,Hafen 2,"63067 Offenbach, Nordring 129",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
The Mystery Of Banksy - A Genius Mind,125760,Isarforum Deutsches Museum,"80538 München, Ludwigsbrücke",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
WCD Pool Sessions in Frankfurt,1951,Stadionbad,"60528 Frankfurt am Main, Mörenfelder Landstraße 362",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Andy Ost - Konzert des Lebens – Jetzt erst recht!,1908,Amphitheater,"63454 Hanau, Philippsruher Allee 48",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Angela Lehner - 2001,695,Haus am Dom,"60311 Frankfurt, Domplatz 3",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Batschkapp Weinfest,,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Bilderbuch-Nachmittag mit Antje Damm - Teddy ist weg!,1020,Literaturhaus Frankfurt,"60311 Frankfurt, Schöne Aussicht 2",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Comedy Clan,2557,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
"Die Welt ist schön, Milord",1743,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Electric Grooves,121,Tanzhaus West/Dora Brilliant,"60327 Frankfurt am Main, Gutleutstraße 294",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Erzeugermarkt Konstablerwache,828,Erzeugermarkt Konstablerwache,"60313 Frankfurt am Main, Konstablerwache",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
ILM September Edition 2021,2901,Messe Offenbach,"63065 Offenbach, Kaiserstraße 108 - 112",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
ins freie! Open Air,706,Jahrhunderthalle,"65929 Frankfurt am Main, Pfaffenwiese 301",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Klasse & Kampf. Mit Anke Stelling und Francis Seeck.,437,Haus am Dom,"60311 Frankfurt, Domplatz 3",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Klassisches BrauErlebnis,862,Glaabsbräu GmbH & Co. KG,"63500 Seligenstadt, Frankfurter Straße 9",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Latin Summer,1800,Latin Palace Changó,"60311 Frankfurt, Münchener Straße 57",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Liebeserklärung an Unorte. Mit Charlotte Van den …,467,Haus am Dom,"60311 Frankfurt, Domplatz 3",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Lily Abichahine / Noor Abed & Mark Lotfy - Exquisite …,816,Frankfurt LAB,"60326 Frankfurt am Main, Schmidtstraße 12",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Ludwig²,1751,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Notorious,1268,Cooky's,"60311 Frankfurt, Am Salzhaus 4",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Ohrwürmer Biergarten,626,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Sister Act,2482,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Skylight-Tour,2085,Primus-Linie,"60311 Frankfurt, Mainkai 36",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
tinyBE •living in a sculpture Familienführung …,405,Metzlerpark,"60594 Frankfurt am Main, Schaumainkai 17",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
Velvet-Bar-Night,1074,Velvet Club,"60311 Frankfurt, Weißfrauenstraße 12-16",Samstag,2021-09-04,2021-09-01T16:56:19.364594Z
