eventtitle;views;place;address;eventday;eventdate;request
Magical Sing Along - Das lustigste Mitsing-Event;12576;Bürgerhaus;64546 Mörfelden-Walldorf, Westendstraße 60;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Velvet-Bar-Night;1460;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Basta A-cappella-Band;465;Zeltpalast am Deutsche Bank Park;60528 Frankfurt am Main, Mörfelder Landstraße 362;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
BeThrifty Vintage Kilo Sale | Frankfurt | 04. & 05. …;1302;Batschkapp;60388 Frankfurt am Main, Gwinnerstraße 5;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Blumenmarkt Liebfrauenberg;441;Liebfrauenberg;60313 Frankfurt am Main, Liebfrauenberg;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Braumeister-Tasting;596;Glaabsbräu GmbH & Co. KG;63500 Seligenstadt, Frankfurter Straße 9;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Das Abschiedsdinner;382;Theater Lempenfieber;60435 Frankfurt am Main, Berkersheimer Obergasse 12;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Die Physiker;115;Kellertheater Frankfurt;60311 Frankfurt, Mainstraße 2;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Fatih Cevikkollu - FatihMorgana;987;Die Käs;60316 Frankfurt am Main, Waldschmidtstr. 19;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Friday Night Club Band;218;Jazzkeller Frankfurt;60313 Frankfurt am Main, Kleine Bockenheimer Str. 18;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Gallusmarkt;576;Gallusmarkt;60326 Frankfurt am Main, Frankenallee 183;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Hedda Gabler;389;Schauspielhaus;60311 Frankfurt, Neue Mainzer Straße 17;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Internationale Revue 21/22;933;Tigerpalast Varieté Theater;60313 Frankfurt am Main, Heiligkreuzgasse 16;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Lärm. Blindes sehen. Blinde sehen!;505;Schauspielhaus;60311 Frankfurt, Neue Mainzer Straße 17;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Latin Feeling;757;Latin Palace Changó;60311 Frankfurt, Münchener Straße 57;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
Malina;501;Kammerspiele;60311 Frankfurt, Neue Mainzer Straße 11;Freitag;2022-03-04;2022-03-04T02:24:14.234833Z
