eventtitle;views;place;address;eventday;eventdate;request
Fein & Wein Tasting Festival Darmstadt 2022;3429;Bürgerzentrum zum goldenen Löwen;64291 Darmstadt, Frankfurter Landstraße 153;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Urban Friday;3860;Cooky's;60311 Frankfurt, Am Salzhaus 4;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
We Are Together Frühlings Rave;1892;Tanzhaus West/Dora Brilliant;60327 Frankfurt am Main, Gutleutstraße 294;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Alter Ego;374;Bockenheimer Depot;60325 Frankfurt am Main, Carlo-Schmid-Platz 1;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Ann Doka | Nashville CD Releaseparty;245;Fat Jacks Blues Club;61267 Neu-Anspach, Robert-Bosch-Straße 16;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Blumenmarkt Liebfrauenberg;395;Liebfrauenberg;60313 Frankfurt am Main, Liebfrauenberg;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Braumeister-Tasting;584;Glaabsbräu GmbH & Co. KG;63500 Seligenstadt, Frankfurter Straße 9;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Das Abschiedsdinner;499;Theater Lempenfieber;60435 Frankfurt am Main, Berkersheimer Obergasse 12;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Der Theatermacher;394;Schauspielhaus;60311 Frankfurt, Neue Mainzer Straße 17;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Friday Night Club Band;262;Jazzkeller Frankfurt;60313 Frankfurt am Main, Kleine Bockenheimer Str. 18;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Gallusmarkt;471;Gallusmarkt;60326 Frankfurt am Main, Frankenallee 183;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Hape Kerkeling`s Kein Pardon;1551;bigBOX Allgäu;87435 Kempten, Kotterner Str. 64;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
hr-Sinfoniekonzert | Konzert für Orchester;588;Alte Oper | Großer Saal;60313 Frankfurt am Main, Opernplatz 1;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Internationale Revue 21/22;837;Tigerpalast Varieté Theater;60313 Frankfurt am Main, Heiligkreuzgasse 16;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Label Party;200;S12 MusikBar & Club;60326 Frankfurt am Main, Schmidtstraße 12;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Latin Feeling;727;Latin Palace Changó;60311 Frankfurt, Münchener Straße 57;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Lydia Benecke - Die Psychologie des Bösen;1353;Stadthalle 'Stern' Riesa;01587 Riesa, Großenhainerstraße 43;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Mädchen wie die;516;Löwenhof;60385 Frankfurt am Main, Löwengasse 27;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Meg Stuart/Damaged Goods - Solos and Duets;726;Künstlerhaus Mousonturm;60316 Frankfurt am Main, Waldschmidtstraße 4;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
My Way;469;Kellertheater Frankfurt;60311 Frankfurt, Mainstraße 2;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Penthouse Liebe;799;Adlib;60314 Frankfurt am Main, Schwedler Straße 8;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Peter Vollmer - Es lockt das Weib, doch bockt der Leib!;699;Die Käs;60316 Frankfurt am Main, Waldschmidtstr. 19;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
Pracht pres. Brandon (Bootshaus Cologne);132;Pracht;60329 Frankfurt am Main, Niddastr. 54;Freitag;2022-04-01;2022-04-01T03:04:06.919857Z
