parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.094684385,2021-09-01T00:57:00Z,545,150,602,1[Anlagenring],2021-09-01T00:57:00.268Z
0.035714287,2021-09-01T00:57:00Z,351,0,364,4[Bahnhofsviertel],2021-09-01T00:57:00.268Z
0.32955465,2021-09-01T00:57:00Z,828,0,1235,5[Dom / Römer],2021-09-01T00:57:00.268Z
0.23154363,2021-09-01T00:57:00Z,1145,70,1490,2[Zeil],2021-09-01T00:57:00.268Z
0.094684385,2021-09-01T02:07:00Z,545,150,602,1[Anlagenring],2021-09-01T02:07:01.268Z
0.032967035,2021-09-01T02:07:00Z,352,0,364,4[Bahnhofsviertel],2021-09-01T02:07:01.268Z
0.32874495,2021-09-01T02:07:00Z,829,0,1235,5[Dom / Römer],2021-09-01T02:07:01.268Z
0.23221476,2021-09-01T02:07:00Z,1144,70,1490,2[Zeil],2021-09-01T02:07:01.268Z
0.094684385,2021-09-01T02:38:00Z,545,150,602,1[Anlagenring],2021-09-01T02:37:01.279Z
0.032967035,2021-09-01T02:38:00Z,352,0,364,4[Bahnhofsviertel],2021-09-01T02:37:01.279Z
0.32874495,2021-09-01T02:38:00Z,829,0,1235,5[Dom / Römer],2021-09-01T02:37:01.279Z
0.23355705,2021-09-01T02:38:00Z,1142,70,1490,2[Zeil],2021-09-01T02:37:01.279Z
0.094684385,2021-09-01T02:53:00Z,545,150,602,1[Anlagenring],2021-09-01T02:52:00.432Z
0.032967035,2021-09-01T02:53:00Z,352,0,364,4[Bahnhofsviertel],2021-09-01T02:52:00.432Z
0.32874495,2021-09-01T02:53:00Z,829,0,1235,5[Dom / Römer],2021-09-01T02:52:00.432Z
0.23288591,2021-09-01T02:53:00Z,1143,70,1490,2[Zeil],2021-09-01T02:52:00.432Z
0.094684385,2021-09-01T03:03:00Z,545,150,602,1[Anlagenring],2021-09-01T03:02:02.361Z
0.032967035,2021-09-01T03:03:00Z,352,0,364,4[Bahnhofsviertel],2021-09-01T03:02:02.361Z
0.32874495,2021-09-01T03:03:00Z,829,0,1235,5[Dom / Römer],2021-09-01T03:02:02.361Z
0.23288591,2021-09-01T03:03:00Z,1143,70,1490,2[Zeil],2021-09-01T03:02:02.361Z
0.093023255,2021-09-01T03:28:00Z,546,150,602,1[Anlagenring],2021-09-01T03:27:00.129Z
0.032967035,2021-09-01T03:28:00Z,352,0,364,4[Bahnhofsviertel],2021-09-01T03:27:00.129Z
0.32793522,2021-09-01T03:28:00Z,830,0,1235,5[Dom / Römer],2021-09-01T03:27:00.129Z
0.23355705,2021-09-01T03:28:00Z,1142,70,1490,2[Zeil],2021-09-01T03:27:00.129Z
0.093023255,2021-09-01T03:38:00Z,546,150,602,1[Anlagenring],2021-09-01T03:37:00.612Z
0.035714287,2021-09-01T03:38:00Z,351,0,364,4[Bahnhofsviertel],2021-09-01T03:37:00.612Z
0.32793522,2021-09-01T03:38:00Z,830,0,1235,5[Dom / Römer],2021-09-01T03:37:00.612Z
0.23489933,2021-09-01T03:38:00Z,1140,70,1490,2[Zeil],2021-09-01T03:37:00.612Z
0.093023255,2021-09-01T03:53:00Z,546,150,602,1[Anlagenring],2021-09-01T03:52:00.971Z
0.043956045,2021-09-01T03:53:00Z,348,0,364,4[Bahnhofsviertel],2021-09-01T03:52:00.971Z
0.32793522,2021-09-01T03:53:00Z,830,0,1235,5[Dom / Römer],2021-09-01T03:52:00.971Z
0.046864685,2021-09-01T03:53:00Z,1444,70,1515,2[Zeil],2021-09-01T03:52:00.971Z
0.10326087,2021-09-01T04:08:00Z,495,200,552,1[Anlagenring],2021-09-01T04:07:00.150Z
0.07417583,2021-09-01T04:08:00Z,337,0,364,4[Bahnhofsviertel],2021-09-01T04:07:00.150Z
0.33036438,2021-09-01T04:08:00Z,827,0,1235,5[Dom / Römer],2021-09-01T04:07:00.150Z
0.33257404,2021-09-01T04:08:00Z,1465,70,2195,2[Zeil],2021-09-01T04:07:00.150Z
0.10326087,2021-09-01T04:38:00Z,495,200,552,1[Anlagenring],2021-09-01T04:37:02.285Z
0.11263736,2021-09-01T04:38:00Z,323,0,364,4[Bahnhofsviertel],2021-09-01T04:37:02.285Z
0.32793522,2021-09-01T04:38:00Z,830,0,1235,5[Dom / Römer],2021-09-01T04:37:02.285Z
0.33621868,2021-09-01T04:38:00Z,1457,70,2195,2[Zeil],2021-09-01T04:37:02.285Z
0.11050725,2021-09-01T04:53:00Z,491,200,552,1[Anlagenring],2021-09-01T04:52:02.487Z
0.12637363,2021-09-01T04:53:00Z,318,0,364,4[Bahnhofsviertel],2021-09-01T04:52:02.487Z
0.3319838,2021-09-01T04:53:00Z,825,0,1235,5[Dom / Römer],2021-09-01T04:52:02.487Z
0.33758542,2021-09-01T04:53:00Z,1454,70,2195,2[Zeil],2021-09-01T04:52:02.487Z
0.11413044,2021-09-01T05:18:00Z,489,200,552,1[Anlagenring],2021-09-01T05:17:00.169Z
0.14835165,2021-09-01T05:18:00Z,310,0,364,4[Bahnhofsviertel],2021-09-01T05:17:00.169Z
0.33927125,2021-09-01T05:18:00Z,816,0,1235,5[Dom / Römer],2021-09-01T05:17:00.169Z
0.34168565,2021-09-01T05:18:00Z,1445,70,2195,2[Zeil],2021-09-01T05:17:00.169Z
0.123188406,2021-09-01T05:33:00Z,484,200,552,1[Anlagenring],2021-09-01T05:32:00.243Z
0.15934066,2021-09-01T05:33:00Z,306,0,364,4[Bahnhofsviertel],2021-09-01T05:32:00.243Z
0.34736842,2021-09-01T05:33:00Z,806,0,1235,5[Dom / Römer],2021-09-01T05:32:00.243Z
0.34624144,2021-09-01T05:33:00Z,1435,70,2195,2[Zeil],2021-09-01T05:32:00.243Z
0.13043478,2021-09-01T05:38:00Z,480,200,552,1[Anlagenring],2021-09-01T05:37:02.493Z
0.16483517,2021-09-01T05:38:00Z,304,0,364,4[Bahnhofsviertel],2021-09-01T05:37:02.493Z
0.34979758,2021-09-01T05:38:00Z,803,0,1235,5[Dom / Römer],2021-09-01T05:37:02.493Z
0.34624144,2021-09-01T05:38:00Z,1435,70,2195,2[Zeil],2021-09-01T05:37:02.493Z
0.1576087,2021-09-01T05:54:00Z,465,200,552,1[Anlagenring],2021-09-01T05:52:02.051Z
0.18681319,2021-09-01T05:54:00Z,296,0,364,4[Bahnhofsviertel],2021-09-01T05:52:02.051Z
0.36194333,2021-09-01T05:54:00Z,788,0,1235,5[Dom / Römer],2021-09-01T05:52:02.051Z
0.35626423,2021-09-01T05:54:00Z,1413,70,2195,2[Zeil],2021-09-01T05:52:02.051Z
0.19927536,2021-09-01T06:14:00Z,442,200,552,1[Anlagenring],2021-09-01T06:12:00.986Z
0.22252747,2021-09-01T06:14:00Z,283,0,364,4[Bahnhofsviertel],2021-09-01T06:12:00.986Z
0.37408906,2021-09-01T06:14:00Z,773,0,1235,5[Dom / Römer],2021-09-01T06:12:00.986Z
0.37949887,2021-09-01T06:14:00Z,1362,70,2195,2[Zeil],2021-09-01T06:12:00.986Z
0.2481884,2021-09-01T06:28:00Z,415,200,552,1[Anlagenring],2021-09-01T06:27:00.476Z
0.22252747,2021-09-01T06:28:00Z,283,0,364,4[Bahnhofsviertel],2021-09-01T06:27:00.476Z
0.38299596,2021-09-01T06:28:00Z,762,0,1235,5[Dom / Römer],2021-09-01T06:27:00.476Z
0.39179954,2021-09-01T06:28:00Z,1335,70,2195,2[Zeil],2021-09-01T06:27:00.476Z
0.32608697,2021-09-01T06:54:00Z,372,200,552,1[Anlagenring],2021-09-01T06:52:01.026Z
0.2857143,2021-09-01T06:54:00Z,260,0,364,4[Bahnhofsviertel],2021-09-01T06:52:01.026Z
0.4145749,2021-09-01T06:54:00Z,723,0,1235,5[Dom / Römer],2021-09-01T06:52:01.026Z
0.41594532,2021-09-01T06:54:00Z,1282,70,2195,2[Zeil],2021-09-01T06:52:01.026Z
0.35507247,2021-09-01T07:04:00Z,356,200,552,1[Anlagenring],2021-09-01T07:02:01.376Z
0.31318682,2021-09-01T07:04:00Z,250,0,364,4[Bahnhofsviertel],2021-09-01T07:02:01.376Z
0.4299595,2021-09-01T07:04:00Z,704,0,1235,5[Dom / Römer],2021-09-01T07:02:01.376Z
0.42915717,2021-09-01T07:04:00Z,1253,70,2195,2[Zeil],2021-09-01T07:02:01.376Z
0.41123188,2021-09-01T07:24:00Z,325,200,552,1[Anlagenring],2021-09-01T07:22:00.959Z
0.33791208,2021-09-01T07:24:00Z,241,0,364,4[Bahnhofsviertel],2021-09-01T07:22:00.959Z
0.4591093,2021-09-01T07:24:00Z,668,0,1235,5[Dom / Römer],2021-09-01T07:22:00.959Z
0.4546697,2021-09-01T07:24:00Z,1197,70,2195,2[Zeil],2021-09-01T07:22:00.959Z
0.4456522,2021-09-01T07:34:00Z,306,200,552,1[Anlagenring],2021-09-01T07:32:02.861Z
0.3489011,2021-09-01T07:34:00Z,237,0,364,4[Bahnhofsviertel],2021-09-01T07:32:02.861Z
0.46720648,2021-09-01T07:34:00Z,658,0,1235,5[Dom / Römer],2021-09-01T07:32:02.861Z
0.46469247,2021-09-01T07:34:00Z,1175,70,2195,2[Zeil],2021-09-01T07:32:02.861Z
0.47826087,2021-09-01T07:45:00Z,288,200,552,1[Anlagenring],2021-09-01T07:42:02.550Z
0.36263737,2021-09-01T07:45:00Z,232,0,364,4[Bahnhofsviertel],2021-09-01T07:42:02.550Z
0.48987854,2021-09-01T07:45:00Z,630,0,1235,5[Dom / Römer],2021-09-01T07:42:02.550Z
0.47744876,2021-09-01T07:45:00Z,1147,70,2195,2[Zeil],2021-09-01T07:42:02.550Z
0.51992756,2021-09-01T07:55:00Z,265,200,552,1[Anlagenring],2021-09-01T07:52:02.843Z
0.36813188,2021-09-01T07:55:00Z,230,0,364,4[Bahnhofsviertel],2021-09-01T07:52:02.843Z
0.50769234,2021-09-01T07:55:00Z,608,0,1235,5[Dom / Römer],2021-09-01T07:52:02.843Z
0.49339408,2021-09-01T07:55:00Z,1112,70,2195,2[Zeil],2021-09-01T07:52:02.843Z
0.5887681,2021-09-01T08:15:00Z,227,200,552,1[Anlagenring],2021-09-01T08:12:01.807Z
0.3708791,2021-09-01T08:15:00Z,229,0,364,4[Bahnhofsviertel],2021-09-01T08:12:01.807Z
0.5538462,2021-09-01T08:15:00Z,551,0,1235,5[Dom / Römer],2021-09-01T08:12:01.807Z
0.5243736,2021-09-01T08:15:00Z,1044,70,2195,2[Zeil],2021-09-01T08:12:01.807Z
0.615942,2021-09-01T08:35:00Z,212,200,552,1[Anlagenring],2021-09-01T08:32:00.402Z
0.36813188,2021-09-01T08:35:00Z,230,0,364,4[Bahnhofsviertel],2021-09-01T08:32:00.402Z
0.6008097,2021-09-01T08:35:00Z,493,0,1235,5[Dom / Römer],2021-09-01T08:32:00.402Z
