parkingAreaOccupancy;parkingAreaStatusTime;parkingAreaTotalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityShortTermOverride;id;TIME
0.094684385;2021-10-01T01:16:00Z;545;150;602;1[Anlagenring];2021-10-01T01:12:02.350Z
0.0054945056;2021-10-01T01:16:00Z;362;0;364;4[Bahnhofsviertel];2021-10-01T01:12:02.350Z
0.5238866;2021-10-01T01:16:00Z;588;0;1235;5[Dom / Römer];2021-10-01T01:12:02.350Z
0.23355263;2021-10-01T01:16:00Z;1165;70;1520;2[Zeil];2021-10-01T01:12:02.350Z
0.093023255;2021-10-01T02:21:00Z;546;150;602;1[Anlagenring];2021-10-01T02:17:00.850Z
0.0054945056;2021-10-01T02:21:00Z;362;0;364;4[Bahnhofsviertel];2021-10-01T02:17:00.850Z
0.51902837;2021-10-01T02:21:00Z;594;0;1235;5[Dom / Römer];2021-10-01T02:17:00.850Z
0.23486842;2021-10-01T02:21:00Z;1163;70;1520;2[Zeil];2021-10-01T02:17:00.850Z
0.093023255;2021-10-01T02:51:00Z;546;150;602;1[Anlagenring];2021-10-01T02:52:02.027Z
0.008241759;2021-10-01T02:51:00Z;361;0;364;4[Bahnhofsviertel];2021-10-01T02:52:02.027Z
0.5149798;2021-10-01T02:51:00Z;599;0;1235;5[Dom / Römer];2021-10-01T02:52:02.027Z
0.23684211;2021-10-01T02:51:00Z;1160;70;1520;2[Zeil];2021-10-01T02:52:02.027Z
0.093023255;2021-10-01T03:16:00Z;546;150;602;1[Anlagenring];2021-10-01T03:17:01.851Z
0.010989011;2021-10-01T03:16:00Z;360;0;364;4[Bahnhofsviertel];2021-10-01T03:17:01.851Z
0.51578945;2021-10-01T03:16:00Z;598;0;1235;5[Dom / Römer];2021-10-01T03:17:01.851Z
0.23684211;2021-10-01T03:16:00Z;1160;70;1520;2[Zeil];2021-10-01T03:17:01.851Z
0.10963455;2021-10-01T03:31:00Z;536;150;602;1[Anlagenring];2021-10-01T03:32:01.294Z
0.010989011;2021-10-01T03:31:00Z;360;0;364;4[Bahnhofsviertel];2021-10-01T03:32:01.294Z
0.5149798;2021-10-01T03:31:00Z;599;0;1235;5[Dom / Römer];2021-10-01T03:32:01.294Z
0.2375;2021-10-01T03:31:00Z;1159;70;1520;2[Zeil];2021-10-01T03:32:01.294Z
0.10963455;2021-10-01T03:42:00Z;536;150;602;1[Anlagenring];2021-10-01T03:42:01.970Z
0.008241759;2021-10-01T03:42:00Z;361;0;364;4[Bahnhofsviertel];2021-10-01T03:42:01.970Z
0.5149798;2021-10-01T03:42:00Z;599;0;1235;5[Dom / Römer];2021-10-01T03:42:01.970Z
0.2381579;2021-10-01T03:42:00Z;1158;70;1520;2[Zeil];2021-10-01T03:42:01.970Z
0.10963455;2021-10-01T03:57:00Z;536;150;602;1[Anlagenring];2021-10-01T03:57:01.860Z
0.016483517;2021-10-01T03:57:00Z;358;0;364;4[Bahnhofsviertel];2021-10-01T03:57:01.860Z
0.5149798;2021-10-01T03:57:00Z;599;0;1235;5[Dom / Römer];2021-10-01T03:57:01.860Z
0.23881578;2021-10-01T03:57:00Z;1157;70;1520;2[Zeil];2021-10-01T03:57:01.860Z
0.1268116;2021-10-01T04:22:00Z;482;200;552;1[Anlagenring];2021-10-01T04:22:02.275Z
0.052197803;2021-10-01T04:22:00Z;345;0;364;4[Bahnhofsviertel];2021-10-01T04:22:02.275Z
0.51821864;2021-10-01T04:22:00Z;595;0;1235;5[Dom / Römer];2021-10-01T04:22:02.275Z
0.3181818;2021-10-01T04:22:00Z;1500;70;2200;2[Zeil];2021-10-01T04:22:02.275Z
0.125;2021-10-01T04:42:00Z;483;200;552;1[Anlagenring];2021-10-01T04:42:02.659Z
0.06318682;2021-10-01T04:42:00Z;341;0;364;4[Bahnhofsviertel];2021-10-01T04:42:02.659Z
0.5174089;2021-10-01T04:42:00Z;596;0;1235;5[Dom / Römer];2021-10-01T04:42:02.659Z
0.3190909;2021-10-01T04:42:00Z;1498;70;2200;2[Zeil];2021-10-01T04:42:02.659Z
0.13224638;2021-10-01T04:57:00Z;479;200;552;1[Anlagenring];2021-10-01T04:57:02.414Z
0.071428575;2021-10-01T04:57:00Z;338;0;364;4[Bahnhofsviertel];2021-10-01T04:57:02.414Z
0.5222672;2021-10-01T04:57:00Z;590;0;1235;5[Dom / Römer];2021-10-01T04:57:02.414Z
0.32;2021-10-01T04:57:00Z;1496;70;2200;2[Zeil];2021-10-01T04:57:02.414Z
0.13405797;2021-10-01T05:17:00Z;478;200;552;1[Anlagenring];2021-10-01T05:17:01.345Z
0.082417585;2021-10-01T05:17:00Z;334;0;364;4[Bahnhofsviertel];2021-10-01T05:17:01.345Z
0.5222672;2021-10-01T05:17:00Z;590;0;1235;5[Dom / Römer];2021-10-01T05:17:01.345Z
0.3272727;2021-10-01T05:17:00Z;1480;70;2200;2[Zeil];2021-10-01T05:17:01.345Z
0.14311594;2021-10-01T05:27:00Z;473;200;552;1[Anlagenring];2021-10-01T05:27:01.867Z
0.09615385;2021-10-01T05:27:00Z;329;0;364;4[Bahnhofsviertel];2021-10-01T05:27:01.867Z
0.52307695;2021-10-01T05:27:00Z;589;0;1235;5[Dom / Römer];2021-10-01T05:27:01.867Z
0.33045456;2021-10-01T05:27:00Z;1473;70;2200;2[Zeil];2021-10-01T05:27:01.867Z
0.14492753;2021-10-01T05:37:00Z;472;200;552;1[Anlagenring];2021-10-01T05:37:00.488Z
0.104395606;2021-10-01T05:37:00Z;326;0;364;4[Bahnhofsviertel];2021-10-01T05:37:00.488Z
0.52955467;2021-10-01T05:37:00Z;581;0;1235;5[Dom / Römer];2021-10-01T05:37:00.488Z
0.33545455;2021-10-01T05:37:00Z;1462;70;2200;2[Zeil];2021-10-01T05:37:00.488Z
0.17391305;2021-10-01T05:52:00Z;456;200;552;1[Anlagenring];2021-10-01T05:52:00.408Z
0.12637363;2021-10-01T05:52:00Z;318;0;364;4[Bahnhofsviertel];2021-10-01T05:52:00.408Z
0.5433198;2021-10-01T05:52:00Z;564;0;1235;5[Dom / Römer];2021-10-01T05:52:00.408Z
0.34681818;2021-10-01T05:52:00Z;1437;70;2200;2[Zeil];2021-10-01T05:52:00.408Z
0.19384058;2021-10-01T06:07:00Z;445;200;552;1[Anlagenring];2021-10-01T06:07:01.568Z
0.16208792;2021-10-01T06:07:00Z;305;0;364;4[Bahnhofsviertel];2021-10-01T06:07:01.568Z
0.5603239;2021-10-01T06:07:00Z;543;0;1235;5[Dom / Römer];2021-10-01T06:07:01.568Z
0.36045456;2021-10-01T06:07:00Z;1407;70;2200;2[Zeil];2021-10-01T06:07:01.568Z
0.24275362;2021-10-01T06:32:00Z;418;200;552;1[Anlagenring];2021-10-01T06:32:01.437Z
0.18681319;2021-10-01T06:32:00Z;296;0;364;4[Bahnhofsviertel];2021-10-01T06:32:01.437Z
0.57894737;2021-10-01T06:32:00Z;520;0;1235;5[Dom / Römer];2021-10-01T06:32:01.437Z
0.38954544;2021-10-01T06:32:00Z;1343;70;2200;2[Zeil];2021-10-01T06:32:01.437Z
0.28623188;2021-10-01T06:48:00Z;394;200;552;1[Anlagenring];2021-10-01T06:47:01.167Z
0.22527473;2021-10-01T06:48:00Z;282;0;364;4[Bahnhofsviertel];2021-10-01T06:47:01.167Z
0.60242915;2021-10-01T06:48:00Z;491;0;1235;5[Dom / Römer];2021-10-01T06:47:01.167Z
0.40227273;2021-10-01T06:48:00Z;1315;70;2200;2[Zeil];2021-10-01T06:47:01.167Z
0.3188406;2021-10-01T07:03:00Z;376;200;552;1[Anlagenring];2021-10-01T07:02:01.042Z
