parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.06593407,2021-08-01T05:26:00Z,340,0,364,4[Bahnhofsviertel],2021-08-01T05:22:01.650Z
0.3465587,2021-08-01T05:26:00Z,807,0,1235,5[Dom / Römer],2021-08-01T05:22:01.650Z
0.36567506,2021-08-01T05:26:00Z,1386,45,2185,2[Zeil],2021-08-01T05:22:01.650Z
0.17774086,2021-08-01T05:41:00Z,495,150,602,1[Anlagenring],2021-08-01T05:37:02.368Z
0.06868132,2021-08-01T05:41:00Z,339,0,364,4[Bahnhofsviertel],2021-08-01T05:37:02.368Z
0.34736842,2021-08-01T05:41:00Z,806,0,1235,5[Dom / Römer],2021-08-01T05:37:02.368Z
0.3652174,2021-08-01T05:41:00Z,1387,45,2185,2[Zeil],2021-08-01T05:37:02.368Z
0.18106312,2021-08-01T05:51:00Z,493,150,602,1[Anlagenring],2021-08-01T05:47:00.521Z
0.071428575,2021-08-01T05:51:00Z,338,0,364,4[Bahnhofsviertel],2021-08-01T05:47:00.521Z
0.351417,2021-08-01T05:51:00Z,801,0,1235,5[Dom / Römer],2021-08-01T05:47:00.521Z
0.36567506,2021-08-01T05:51:00Z,1386,45,2185,2[Zeil],2021-08-01T05:47:00.521Z
0.18106312,2021-08-01T05:56:00Z,493,150,602,1[Anlagenring],2021-08-01T05:52:02.636Z
0.071428575,2021-08-01T05:56:00Z,338,0,364,4[Bahnhofsviertel],2021-08-01T05:52:02.636Z
0.35222673,2021-08-01T05:56:00Z,800,0,1235,5[Dom / Römer],2021-08-01T05:52:02.636Z
0.36659038,2021-08-01T05:56:00Z,1384,45,2185,2[Zeil],2021-08-01T05:52:02.636Z
0.1910299,2021-08-01T06:26:00Z,487,150,602,1[Anlagenring],2021-08-01T06:22:02.077Z
0.06868132,2021-08-01T06:26:00Z,339,0,364,4[Bahnhofsviertel],2021-08-01T06:22:02.077Z
0.35465586,2021-08-01T06:26:00Z,797,0,1235,5[Dom / Römer],2021-08-01T06:22:02.077Z
0.3652174,2021-08-01T06:26:00Z,1387,45,2185,2[Zeil],2021-08-01T06:22:02.077Z
0.2076412,2021-08-01T06:46:00Z,477,150,602,1[Anlagenring],2021-08-01T06:42:01.312Z
0.06593407,2021-08-01T06:46:00Z,340,0,364,4[Bahnhofsviertel],2021-08-01T06:42:01.312Z
0.35870445,2021-08-01T06:46:00Z,792,0,1235,5[Dom / Römer],2021-08-01T06:42:01.312Z
0.36567506,2021-08-01T06:46:00Z,1386,45,2185,2[Zeil],2021-08-01T06:42:01.312Z
0.22425249,2021-08-01T07:01:00Z,467,150,602,1[Anlagenring],2021-08-01T06:57:01.181Z
0.06868132,2021-08-01T07:01:00Z,339,0,364,4[Bahnhofsviertel],2021-08-01T06:57:01.181Z
0.3611336,2021-08-01T07:01:00Z,789,0,1235,5[Dom / Römer],2021-08-01T06:57:01.181Z
