parkingFacilityOccupancy;parkingFacilityStatus;parkingFacilityStatusTime;totalNumberOfOccupiedParkingSpaces;totalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityOverride;totalParkingCapacityShortTermOverride;id;TIME
0.52286774;open;2021-10-01T03:37:00Z;423;386;0;809;809;24279[Konstabler];2021-10-01T03:42:01.970Z
0;closed;2021-10-01T03:37:00Z;;;0;0;0;18495[Am Gericht];2021-10-01T03:42:01.970Z
0.09029345;open;2021-10-01T03:37:00Z;80;806;70;956;886;109240[MyZeil];2021-10-01T03:42:01.970Z
0.44479495;open;2021-10-01T03:37:00Z;282;352;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T03:42:01.970Z
0.1;open;2021-10-01T03:52:00Z;20;180;150;350;200;24276[Turmcenter];2021-10-01T03:57:01.860Z
0.11442786;open;2021-10-01T03:52:00Z;46;356;0;402;402;18944[Alte Oper];2021-10-01T03:57:01.860Z
0.016483517;open;2021-10-01T03:52:00Z;6;358;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T03:57:01.860Z
0.5;open;2021-10-01T03:52:00Z;213;213;0;426;426;18497[Hauptwache];2021-10-01T03:57:01.860Z
0.52286774;open;2021-10-01T03:52:00Z;423;386;0;809;809;24279[Konstabler];2021-10-01T03:57:01.860Z
0;closed;2021-10-01T03:52:00Z;;;0;0;0;18495[Am Gericht];2021-10-01T03:57:01.860Z
0.09029345;open;2021-10-01T03:52:00Z;80;806;70;956;886;109240[MyZeil];2021-10-01T03:57:01.860Z
0.44637224;open;2021-10-01T03:52:00Z;283;351;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T03:57:01.860Z
0.13333334;open;2021-10-01T04:17:00Z;20;130;200;350;150;24276[Turmcenter];2021-10-01T04:22:02.275Z
0.12437811;open;2021-10-01T04:17:00Z;50;352;0;402;402;18944[Alte Oper];2021-10-01T04:22:02.275Z
0.052197803;open;2021-10-01T04:17:00Z;19;345;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T04:22:02.275Z
0.5023474;open;2021-10-01T04:17:00Z;214;212;0;426;426;18497[Hauptwache];2021-10-01T04:22:02.275Z
0.52657604;open;2021-10-01T04:17:00Z;426;383;0;809;809;24279[Konstabler];2021-10-01T04:22:02.275Z
0.49117646;open;2021-10-01T04:17:00Z;334;346;0;680;680;18495[Am Gericht];2021-10-01T04:22:02.275Z
0.09142212;open;2021-10-01T04:17:00Z;81;805;70;956;886;109240[MyZeil];2021-10-01T04:22:02.275Z
0.44952682;open;2021-10-01T04:17:00Z;285;349;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T04:22:02.275Z
0.13333334;open;2021-10-01T04:37:00Z;20;130;200;350;150;24276[Turmcenter];2021-10-01T04:42:02.659Z
0.121890545;open;2021-10-01T04:37:00Z;49;353;0;402;402;18944[Alte Oper];2021-10-01T04:42:02.659Z
0.06318682;open;2021-10-01T04:37:00Z;23;341;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T04:42:02.659Z
0.5046948;open;2021-10-01T04:37:00Z;215;211;0;426;426;18497[Hauptwache];2021-10-01T04:42:02.659Z
0.5241038;open;2021-10-01T04:37:00Z;424;385;0;809;809;24279[Konstabler];2021-10-01T04:42:02.659Z
0.49411765;open;2021-10-01T04:37:00Z;336;344;0;680;680;18495[Am Gericht];2021-10-01T04:42:02.659Z
0.09255079;open;2021-10-01T04:37:00Z;82;804;70;956;886;109240[MyZeil];2021-10-01T04:42:02.659Z
0.44794953;open;2021-10-01T04:37:00Z;284;350;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T04:42:02.659Z
0.14666666;open;2021-10-01T04:52:00Z;22;128;200;350;150;24276[Turmcenter];2021-10-01T04:57:02.414Z
0.12686567;open;2021-10-01T04:52:00Z;51;351;0;402;402;18944[Alte Oper];2021-10-01T04:57:02.414Z
0.071428575;open;2021-10-01T04:52:00Z;26;338;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T04:57:02.414Z
0.5093897;open;2021-10-01T04:52:00Z;217;209;0;426;426;18497[Hauptwache];2021-10-01T04:57:02.414Z
0.5290482;open;2021-10-01T04:52:00Z;428;381;0;809;809;24279[Konstabler];2021-10-01T04:57:02.414Z
0.4970588;open;2021-10-01T04:52:00Z;338;342;0;680;680;18495[Am Gericht];2021-10-01T04:57:02.414Z
0.09255079;open;2021-10-01T04:52:00Z;82;804;70;956;886;109240[MyZeil];2021-10-01T04:57:02.414Z
0.44794953;open;2021-10-01T04:52:00Z;284;350;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T04:57:02.414Z
0.14666666;open;2021-10-01T05:12:00Z;22;128;200;350;150;24276[Turmcenter];2021-10-01T05:17:01.345Z
0.12935324;open;2021-10-01T05:12:00Z;52;350;0;402;402;18944[Alte Oper];2021-10-01T05:17:01.345Z
0.082417585;open;2021-10-01T05:12:00Z;30;334;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T05:17:01.345Z
0.5117371;open;2021-10-01T05:12:00Z;218;208;0;426;426;18497[Hauptwache];2021-10-01T05:17:01.345Z
