parkingFacilityOccupancy,parkingFacilityStatus,parkingFacilityStatusTime,totalNumberOfOccupiedParkingSpaces,totalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityOverride,totalParkingCapacityShortTermOverride,id,TIME
0.005,open,2021-09-01T00:52:00Z,1,199,150,350,200,24276[Turmcenter],2021-09-01T00:57:00.268Z
0.13930348,open,2021-09-01T00:52:00Z,56,346,0,402,402,18944[Alte Oper],2021-09-01T00:57:00.268Z
0.035714287,open,2021-09-01T00:52:00Z,13,351,0,364,364,24281[Hauptbahnhof Süd],2021-09-01T00:57:00.268Z
0.471831,open,2021-09-01T00:52:00Z,201,225,0,426,426,18497[Hauptwache],2021-09-01T00:57:00.268Z
0.25463536,open,2021-09-01T00:52:00Z,206,603,0,809,809,24279[Konstabler],2021-09-01T00:57:00.268Z
0,closed,2021-09-01T00:52:00Z,,301,0,0,0,18495[Am Gericht],2021-09-01T00:57:00.268Z
0.07945517,open,2021-09-01T00:52:00Z,70,811,70,951,881,109240[MyZeil],2021-09-01T00:57:00.268Z
0.45155993,open,2021-09-01T00:52:00Z,275,334,0,609,609,18494[Konrad-Adenauer-Straße],2021-09-01T00:57:00.268Z
0.005,open,2021-09-01T02:02:00Z,1,199,150,350,200,24276[Turmcenter],2021-09-01T02:07:01.268Z
0.13930348,open,2021-09-01T02:02:00Z,56,346,0,402,402,18944[Alte Oper],2021-09-01T02:07:01.268Z
0.032967035,open,2021-09-01T02:02:00Z,12,352,0,364,364,24281[Hauptbahnhof Süd],2021-09-01T02:07:01.268Z
0.471831,open,2021-09-01T02:02:00Z,201,225,0,426,426,18497[Hauptwache],2021-09-01T02:07:01.268Z
0.25339925,open,2021-09-01T02:02:00Z,205,604,0,809,809,24279[Konstabler],2021-09-01T02:07:01.268Z
0,closed,2021-09-01T02:02:00Z,,,0,0,0,18495[Am Gericht],2021-09-01T02:07:01.268Z
0.07945517,open,2021-09-01T02:02:00Z,70,811,70,951,881,109240[MyZeil],2021-09-01T02:07:01.268Z
0.45320198,open,2021-09-01T02:02:00Z,276,333,0,609,609,18494[Konrad-Adenauer-Straße],2021-09-01T02:07:01.268Z
0.005,open,2021-09-01T02:33:00Z,1,199,150,350,200,24276[Turmcenter],2021-09-01T02:37:01.279Z
0.13930348,open,2021-09-01T02:33:00Z,56,346,0,402,402,18944[Alte Oper],2021-09-01T02:37:01.279Z
0.032967035,open,2021-09-01T02:33:00Z,12,352,0,364,364,24281[Hauptbahnhof Süd],2021-09-01T02:37:01.279Z
0.471831,open,2021-09-01T02:33:00Z,201,225,0,426,426,18497[Hauptwache],2021-09-01T02:37:01.279Z
0.25339925,open,2021-09-01T02:33:00Z,205,604,0,809,809,24279[Konstabler],2021-09-01T02:37:01.279Z
0,closed,2021-09-01T02:33:00Z,,,0,0,0,18495[Am Gericht],2021-09-01T02:37:01.279Z
0.07945517,open,2021-09-01T02:33:00Z,70,811,70,951,881,109240[MyZeil],2021-09-01T02:37:01.279Z
0.45648605,open,2021-09-01T02:33:00Z,278,331,0,609,609,18494[Konrad-Adenauer-Straße],2021-09-01T02:37:01.279Z
0.005,open,2021-09-01T02:48:00Z,1,199,150,350,200,24276[Turmcenter],2021-09-01T02:52:00.432Z
0.13930348,open,2021-09-01T02:48:00Z,56,346,0,402,402,18944[Alte Oper],2021-09-01T02:52:00.432Z
0.032967035,open,2021-09-01T02:48:00Z,12,352,0,364,364,24281[Hauptbahnhof Süd],2021-09-01T02:52:00.432Z
0.471831,open,2021-09-01T02:48:00Z,201,225,0,426,426,18497[Hauptwache],2021-09-01T02:52:00.432Z
0.25339925,open,2021-09-01T02:48:00Z,205,604,0,809,809,24279[Konstabler],2021-09-01T02:52:00.432Z
0,closed,2021-09-01T02:48:00Z,,,0,0,0,18495[Am Gericht],2021-09-01T02:52:00.432Z
0.07945517,open,2021-09-01T02:48:00Z,70,811,70,951,881,109240[MyZeil],2021-09-01T02:52:00.432Z
0.454844,open,2021-09-01T02:48:00Z,277,332,0,609,609,18494[Konrad-Adenauer-Straße],2021-09-01T02:52:00.432Z
0.005,open,2021-09-01T02:58:00Z,1,199,150,350,200,24276[Turmcenter],2021-09-01T03:02:02.361Z
0.13930348,open,2021-09-01T02:58:00Z,56,346,0,402,402,18944[Alte Oper],2021-09-01T03:02:02.361Z
