parkingFacilityOccupancy;parkingFacilityStatus;parkingFacilityStatusTime;totalNumberOfOccupiedParkingSpaces;totalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityOverride;totalParkingCapacityShortTermOverride;id;TIME
0.28800988;open;2021-11-01T06:53:00Z;233;576;0;809;809;24279[Konstabler];2021-11-01T06:57:01.603Z
0.5046948;open;2021-11-01T06:53:00Z;215;211;0;426;426;18497[Hauptwache];2021-11-01T06:57:01.603Z
0.55441177;open;2021-11-01T06:53:00Z;377;303;0;680;680;18495[Am Gericht];2021-11-01T06:57:01.603Z
0.09933036;open;2021-11-01T06:53:00Z;89;807;70;966;896;109240[MyZeil];2021-11-01T06:57:01.603Z
0.4274448;open;2021-11-01T06:53:00Z;271;363;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T06:57:01.603Z
0.42666668;open;2021-11-01T07:08:00Z;64;86;200;350;150;24276[Turmcenter];2021-11-01T07:12:02.154Z
0.18427518;open;2021-11-01T07:08:00Z;75;332;0;407;407;18944[Alte Oper];2021-11-01T07:12:02.154Z
0.21153846;open;2021-11-01T07:08:00Z;77;287;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T07:12:02.154Z
0.30160692;open;2021-11-01T07:08:00Z;244;565;0;809;809;24279[Konstabler];2021-11-01T07:12:02.154Z
0.52112675;open;2021-11-01T07:08:00Z;222;204;0;426;426;18497[Hauptwache];2021-11-01T07:12:02.154Z
0.5852941;open;2021-11-01T07:08:00Z;398;282;0;680;680;18495[Am Gericht];2021-11-01T07:12:02.154Z
0.10602678;open;2021-11-01T07:08:00Z;95;801;70;966;896;109240[MyZeil];2021-11-01T07:12:02.154Z
0.44164038;open;2021-11-01T07:08:00Z;280;354;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T07:12:02.154Z
0.56666666;open;2021-11-01T07:28:00Z;85;65;200;350;150;24276[Turmcenter];2021-11-01T07:32:01.329Z
0.22850123;open;2021-11-01T07:28:00Z;93;314;0;407;407;18944[Alte Oper];2021-11-01T07:32:01.329Z
0.25824177;open;2021-11-01T07:28:00Z;94;270;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T07:32:01.329Z
0.31396785;open;2021-11-01T07:28:00Z;254;555;0;809;809;24279[Konstabler];2021-11-01T07:32:01.329Z
0.5516432;open;2021-11-01T07:28:00Z;235;191;0;426;426;18497[Hauptwache];2021-11-01T07:32:01.329Z
0.61470586;open;2021-11-01T07:28:00Z;418;262;0;680;680;18495[Am Gericht];2021-11-01T07:32:01.329Z
0.110491075;open;2021-11-01T07:28:00Z;99;797;70;966;896;109240[MyZeil];2021-11-01T07:32:01.329Z
0.4652997;open;2021-11-01T07:28:00Z;295;339;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T07:32:01.329Z
0.6666667;open;2021-11-01T07:38:00Z;100;50;200;350;150;24276[Turmcenter];2021-11-01T07:42:01.487Z
0.25061426;open;2021-11-01T07:38:00Z;102;305;0;407;407;18944[Alte Oper];2021-11-01T07:42:01.487Z
0.27197802;open;2021-11-01T07:38:00Z;99;265;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T07:42:01.487Z
0.33127317;open;2021-11-01T07:38:00Z;268;541;0;809;809;24279[Konstabler];2021-11-01T07:42:01.487Z
0.5610329;open;2021-11-01T07:38:00Z;239;187;0;426;426;18497[Hauptwache];2021-11-01T07:42:01.487Z
0.63235295;open;2021-11-01T07:38:00Z;430;250;0;680;680;18495[Am Gericht];2021-11-01T07:42:01.487Z
0.11495536;open;2021-11-01T07:38:00Z;103;793;70;966;896;109240[MyZeil];2021-11-01T07:42:01.487Z
0.4731861;open;2021-11-01T07:38:00Z;300;334;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T07:42:01.487Z
0.7866667;open;2021-11-01T07:53:00Z;118;32;200;350;150;24276[Turmcenter];2021-11-01T07:57:02.336Z
0.2948403;open;2021-11-01T07:53:00Z;120;287;0;407;407;18944[Alte Oper];2021-11-01T07:57:02.336Z
0.31318682;open;2021-11-01T07:53:00Z;114;250;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T07:57:02.336Z
0.34857848;open;2021-11-01T07:53:00Z;282;527;0;809;809;24279[Konstabler];2021-11-01T07:57:02.336Z
0.59624416;open;2021-11-01T07:53:00Z;254;172;0;426;426;18497[Hauptwache];2021-11-01T07:57:02.336Z
0.6485294;open;2021-11-01T07:53:00Z;441;239;0;680;680;18495[Am Gericht];2021-11-01T07:57:02.336Z
0.50473183;open;2021-11-01T07:53:00Z;320;314;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T07:57:02.336Z
0.96666664;open;2021-11-01T08:08:00Z;145;5;200;350;150;24276[Turmcenter];2021-11-01T08:12:01.044Z
0.33660933;open;2021-11-01T08:08:00Z;137;270;0;407;407;18944[Alte Oper];2021-11-01T08:12:01.044Z
0.34615386;open;2021-11-01T08:08:00Z;126;238;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T08:12:01.044Z
0.37700865;open;2021-11-01T08:08:00Z;305;504;0;809;809;24279[Konstabler];2021-11-01T08:12:01.044Z
0.6455399;open;2021-11-01T08:08:00Z;275;151;0;426;426;18497[Hauptwache];2021-11-01T08:12:01.044Z
0.69264704;open;2021-11-01T08:08:00Z;471;209;0;680;680;18495[Am Gericht];2021-11-01T08:12:01.044Z
0.12946428;open;2021-11-01T08:08:00Z;116;780;70;966;896;109240[MyZeil];2021-11-01T08:12:01.044Z
0.5236593;open;2021-11-01T08:08:00Z;332;302;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T08:12:01.044Z
1;open;2021-11-01T08:34:00Z;150;0;200;350;150;24276[Turmcenter];2021-11-01T08:37:02.116Z
0.4078624;open;2021-11-01T08:34:00Z;166;241;0;407;407;18944[Alte Oper];2021-11-01T08:37:02.116Z
0.39285713;open;2021-11-01T08:34:00Z;143;221;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T08:37:02.116Z
0.4264524;open;2021-11-01T08:34:00Z;345;464;0;809;809;24279[Konstabler];2021-11-01T08:37:02.116Z
0.7112676;open;2021-11-01T08:34:00Z;303;123;0;426;426;18497[Hauptwache];2021-11-01T08:37:02.116Z
0.78088236;open;2021-11-01T08:34:00Z;531;149;0;680;680;18495[Am Gericht];2021-11-01T08:37:02.116Z
0.14620535;open;2021-11-01T08:34:00Z;131;765;70;966;896;109240[MyZeil];2021-11-01T08:37:02.116Z
0.5583596;open;2021-11-01T08:34:00Z;354;280;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T08:37:02.116Z
1;open;2021-11-01T08:44:00Z;150;0;200;350;150;24276[Turmcenter];2021-11-01T08:47:02.106Z
0.44226044;open;2021-11-01T08:44:00Z;180;227;0;407;407;18944[Alte Oper];2021-11-01T08:47:02.106Z
0.40934065;open;2021-11-01T08:44:00Z;149;215;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T08:47:02.106Z
0.4462299;open;2021-11-01T08:44:00Z;361;448;0;809;809;24279[Konstabler];2021-11-01T08:47:02.106Z
0.75586855;open;2021-11-01T08:44:00Z;322;104;0;426;426;18497[Hauptwache];2021-11-01T08:47:02.106Z
0.8235294;open;2021-11-01T08:44:00Z;560;120;0;680;680;18495[Am Gericht];2021-11-01T08:47:02.106Z
0.15736607;open;2021-11-01T08:44:00Z;141;755;70;966;896;109240[MyZeil];2021-11-01T08:47:02.106Z
0.5772871;open;2021-11-01T08:44:00Z;366;268;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T08:47:02.106Z
1;open;2021-11-01T08:49:00Z;150;0;200;350;150;24276[Turmcenter];2021-11-01T08:52:01.616Z
0.46437347;open;2021-11-01T08:49:00Z;189;218;0;407;407;18944[Alte Oper];2021-11-01T08:52:01.616Z
0.40934065;open;2021-11-01T08:49:00Z;149;215;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T08:52:01.616Z
0.47589618;open;2021-11-01T08:49:00Z;385;424;0;809;809;24279[Konstabler];2021-11-01T08:52:01.616Z
0.786385;open;2021-11-01T08:49:00Z;335;91;0;426;426;18497[Hauptwache];2021-11-01T08:52:01.616Z
0.8338235;open;2021-11-01T08:49:00Z;567;113;0;680;680;18495[Am Gericht];2021-11-01T08:52:01.616Z
