parkingFacilityOccupancy,parkingFacilityStatus,parkingFacilityStatusTime,totalNumberOfOccupiedParkingSpaces,totalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityOverride,totalParkingCapacityShortTermOverride,id,TIME
0.19651741,open,2021-08-01T00:34:00Z,79,323,0,402,402,18944[Alte Oper],2021-08-01T00:37:01.869Z
0.18,open,2021-08-01T00:34:00Z,36,164,150,350,200,24276[Turmcenter],2021-08-01T00:37:01.869Z
0.06318682,open,2021-08-01T00:34:00Z,23,341,0,364,364,24281[Hauptbahnhof Süd],2021-08-01T00:37:01.869Z
0.36464772,open,2021-08-01T00:34:00Z,295,514,0,809,809,24279[Konstabler],2021-08-01T00:37:01.869Z
0.6150235,open,2021-08-01T00:34:00Z,262,164,0,426,426,18497[Hauptwache],2021-08-01T00:37:01.869Z
0,closed,2021-08-01T00:34:00Z,,233,0,0,0,18495[Am Gericht],2021-08-01T00:37:01.869Z
0.11316397,open,2021-08-01T00:34:00Z,98,768,45,911,866,109240[MyZeil],2021-08-01T00:37:01.869Z
0.49369085,open,2021-08-01T00:34:00Z,313,321,0,634,634,18494[Konrad-Adenauer-Straße],2021-08-01T00:37:01.869Z
0.16666667,open,2021-08-01T01:50:00Z,67,335,0,402,402,18944[Alte Oper],2021-08-01T01:52:00.683Z
0.175,open,2021-08-01T01:50:00Z,35,165,150,350,200,24276[Turmcenter],2021-08-01T01:52:00.683Z
0.06318682,open,2021-08-01T01:50:00Z,23,341,0,364,364,24281[Hauptbahnhof Süd],2021-08-01T01:52:00.683Z
0.3090235,open,2021-08-01T01:50:00Z,250,559,0,809,809,24279[Konstabler],2021-08-01T01:52:00.683Z
0.53051645,open,2021-08-01T01:50:00Z,226,200,0,426,426,18497[Hauptwache],2021-08-01T01:52:00.683Z
0,closed,2021-08-01T01:50:00Z,,233,0,0,0,18495[Am Gericht],2021-08-01T01:52:00.683Z
0.112009235,open,2021-08-01T01:50:00Z,97,769,45,911,866,109240[MyZeil],2021-08-01T01:52:00.683Z
0.4873817,open,2021-08-01T01:50:00Z,309,325,0,634,634,18494[Konrad-Adenauer-Straße],2021-08-01T01:52:00.683Z
0.16666667,open,2021-08-01T02:20:00Z,67,335,0,402,402,18944[Alte Oper],2021-08-01T02:22:01.506Z
0.175,open,2021-08-01T02:20:00Z,35,165,150,350,200,24276[Turmcenter],2021-08-01T02:22:01.506Z
0.06318682,open,2021-08-01T02:20:00Z,23,341,0,364,364,24281[Hauptbahnhof Süd],2021-08-01T02:22:01.506Z
0.29542646,open,2021-08-01T02:20:00Z,239,570,0,809,809,24279[Konstabler],2021-08-01T02:22:01.506Z
0.52112675,open,2021-08-01T02:20:00Z,222,204,0,426,426,18497[Hauptwache],2021-08-01T02:22:01.506Z
0,closed,2021-08-01T02:20:00Z,,,0,0,0,18495[Am Gericht],2021-08-01T02:22:01.506Z
0.112009235,open,2021-08-01T02:20:00Z,97,769,45,911,866,109240[MyZeil],2021-08-01T02:22:01.506Z
0.4873817,open,2021-08-01T02:20:00Z,309,325,0,634,634,18494[Konrad-Adenauer-Straße],2021-08-01T02:22:01.506Z
0.15671642,open,2021-08-01T02:45:00Z,63,339,0,402,402,18944[Alte Oper],2021-08-01T02:47:00.839Z
0.175,open,2021-08-01T02:45:00Z,35,165,150,350,200,24276[Turmcenter],2021-08-01T02:47:00.839Z
0.06318682,open,2021-08-01T02:45:00Z,23,341,0,364,364,24281[Hauptbahnhof Süd],2021-08-01T02:47:00.839Z
0.2867738,open,2021-08-01T02:45:00Z,232,577,0,809,809,24279[Konstabler],2021-08-01T02:47:00.839Z
0.5164319,open,2021-08-01T02:45:00Z,220,206,0,426,426,18497[Hauptwache],2021-08-01T02:47:00.839Z
0,closed,2021-08-01T02:45:00Z,,,0,0,0,18495[Am Gericht],2021-08-01T02:47:00.839Z
0.11085451,open,2021-08-01T02:45:00Z,96,770,45,911,866,109240[MyZeil],2021-08-01T02:47:00.839Z
0.48895898,open,2021-08-01T02:45:00Z,310,324,0,634,634,18494[Konrad-Adenauer-Straße],2021-08-01T02:47:00.839Z
0.15671642,open,2021-08-01T02:55:00Z,63,339,0,402,402,18944[Alte Oper],2021-08-01T02:57:02.893Z
0.175,open,2021-08-01T02:55:00Z,35,165,150,350,200,24276[Turmcenter],2021-08-01T02:57:02.893Z
0.06318682,open,2021-08-01T02:55:00Z,23,341,0,364,364,24281[Hauptbahnhof Süd],2021-08-01T02:57:02.893Z
0.2843016,open,2021-08-01T02:55:00Z,230,579,0,809,809,24279[Konstabler],2021-08-01T02:57:02.893Z
0.5117371,open,2021-08-01T02:55:00Z,218,208,0,426,426,18497[Hauptwache],2021-08-01T02:57:02.893Z
0,closed,2021-08-01T02:55:00Z,,,0,0,0,18495[Am Gericht],2021-08-01T02:57:02.893Z
0.10969977,open,2021-08-01T02:55:00Z,95,771,45,911,866,109240[MyZeil],2021-08-01T02:57:02.893Z
0.4858044,open,2021-08-01T02:55:00Z,308,326,0,634,634,18494[Konrad-Adenauer-Straße],2021-08-01T02:57:02.893Z
0.15422885,open,2021-08-01T03:20:00Z,62,340,0,402,402,18944[Alte Oper],2021-08-01T03:22:00.864Z
0.175,open,2021-08-01T03:20:00Z,35,165,150,350,200,24276[Turmcenter],2021-08-01T03:22:00.864Z
0.06043956,open,2021-08-01T03:20:00Z,22,342,0,364,364,24281[Hauptbahnhof Süd],2021-08-01T03:22:00.864Z
0.28059334,open,2021-08-01T03:20:00Z,227,582,0,809,809,24279[Konstabler],2021-08-01T03:22:00.864Z
0.5164319,open,2021-08-01T03:20:00Z,220,206,0,426,426,18497[Hauptwache],2021-08-01T03:22:00.864Z
0,closed,2021-08-01T03:20:00Z,,,0,0,0,18495[Am Gericht],2021-08-01T03:22:00.864Z
